sentence,token,predicted_POS,predicted_NER
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",أوروبا,noun,B-LOC
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",ليو,noun,B-PERS
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",##بول,adj,I-PERS
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",##د,adj,I-PERS
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",فون,adj,I-PERS
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",را,prep,I-PERS
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",##نك,noun_prop,I-PERS
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",##ه,punc,I-PERS
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",أبر,noun,B-PERS
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",##ه,verb,I-PERS
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",##ة,noun,I-PERS
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",الحب,prep,I-PERS
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",الكعبة,noun,B-MISC
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",أبر,adj,B-PERS
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",##ه,noun,I-PERS
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",##ة,verb,I-PERS
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",خ,noun_prop,B-LOC
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",##ث,noun_prop,I-LOC
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",مكة,noun_prop,B-LOC
ومرت كلمة التاريخ بتطورات عديدة في الثقافة العربية، فقد بدأت بمعنى التقويم والتوقيت في صدر الإسلام، واحتفظت بهذا المعنى لفترة، ثم صارت بمعنى آخر وهو تسجيل الأحداث على أساس الزمن، لتحل كلمة «التاريخ» تدريجيا محل ما كان.,الإسلام,verb,B-MISC
وانسحب هذا الجدل اللغوي إلى اللغة العربية بالتساؤل ذاته -هل التاريخ علم أم فن؟- وقد بحث بعض المؤرخين العرب عن لفظ في المصادر التاريخية يعكس هذا الاتجاه، فوجدوا ضالتهم عند ابن خلدون في المقدمة لكتابه العبر: «أما بعد فإن فن التاريخ من الفنون التي تتداوله الأمم والأجيال..»، واعتقد أولئك المؤرخون أن الفن في اللغة العربية مساو لكمة ART وليس من العلوم كما هي الحال في اللغة الإنجليزية.,ابن,verb,B-PERS
