sentence,token,predicted_POS,predicted_NER
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",أوروبا,noun,B-LOC
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",ليو,noun,B-PERS
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",بولد,noun,I-PERS
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",بعد,adp,I-PERS
"بداية الحركة التنويرية في أوروبا (الدراسات التاريخية):
بعد ظهور تقنية دراسة الوثائق وألفاظها على يد المؤرخ الألماني ليوبولد فون رانكه (1886)، وإسهامه بشكل رئيس في إدخال علم التاريخ إلى الجامعات الأوروبية كتخصص مستقل بذاته، وتشديده على التفريق بين المصادر والمراجع أدى ذلك إلى اعتبار علم التاريخ علمًا تطبيقيًا كسائر العلوم التطبيقية.",فون,noun,I-PERS
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",أبر,noun,B-PERS
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",الكعبة,noun,B-MISC
"التاريخ
يعود تاريخها إلى زمن بعيد عندما حاول أبرهة الحبشي هدم الكعبة وتحويل مسار الحج إلى مملكته، وعندما وصل أبرهة إلى منطقة خثعم طلب منه سكانها حفر آبار لهم حتى يأذنوا له بالمرور، وذلك لإضعاف جيشه قبل وصوله إلى مكة.",مكة,noun_prop,B-LOC
"ومرت كلمة التاريخ بتطورات عديدة في الثقافة العربية، فقد بدأت بمعنى التقويم والتوقيت في صدر الإسلام، واحتفظت بهذا المعنى لفترة، ثم صارت بمعنى آخر وهو تسجيل الأحداث على أساس الزمن، لتحل كلمة «التاريخ» تدريجيا محل ما كان.",الإسلام,propn,B-MISC
"وانسحب هذا الجدل اللغوي إلى اللغة العربية بالتساؤل ذاته -هل التاريخ علم أم فن؟- وقد بحث بعض المؤرخين العرب عن لفظ في المصادر التاريخية يعكس هذا الاتجاه، فوجدوا ضالتهم عند ابن خلدون في المقدمة لكتابه العبر: «أما بعد فإن فن التاريخ من الفنون التي تتداوله الأمم والأجيال..»، واعتقد أولئك المؤرخون أن الفن في اللغة العربية مساو لكمة ART وليس من العلوم كما هي الحال في اللغة الإنجليزية.",ابن,noun,B-PERS
"وانسحب هذا الجدل اللغوي إلى اللغة العربية بالتساؤل ذاته -هل التاريخ علم أم فن؟- وقد بحث بعض المؤرخين العرب عن لفظ في المصادر التاريخية يعكس هذا الاتجاه، فوجدوا ضالتهم عند ابن خلدون في المقدمة لكتابه العبر: «أما بعد فإن فن التاريخ من الفنون التي تتداوله الأمم والأجيال..»، واعتقد أولئك المؤرخون أن الفن في اللغة العربية مساو لكمة ART وليس من العلوم كما هي الحال في اللغة الإنجليزية.",خلدون,noun,I-PERS
"وإذا كان في تعريف الكافيجي شيء من البعد الاجتماعي (كظهور ملة)، فإن في تعريف السخاوي للتاريخ مسحة ثقافية واجتماعية واضحة، فهو يقول: ""وفي الاصطلاح التعريف بالوقت الذي تضبط به الأحوال، من مولد الرواة والأئمة ووفاة وصحة، وعقل وبدن، ورحلة وحج، وحفظ وضبط، وتوثيق وتجريح، وما أشبه هذا مما مرجعه الفحص عن أحوالهم في ابتدائهم وحالهم واستقبالهم...).",الكافي,conj_sub,B-PERS
"ومنها قول ابن خلدون: «المقدمة في فضل علم التاريخ وتحقيق مذاهبه...»، وقال: «فإن فن التاريخ من الفنون التي تتداوله الأمم والأجيال».",ابن,noun,B-PERS
"ومنها قول ابن خلدون: «المقدمة في فضل علم التاريخ وتحقيق مذاهبه...»، وقال: «فإن فن التاريخ من الفنون التي تتداوله الأمم والأجيال».",خلدون,noun,I-PERS
"والكافيجي يعرفه بأنه: ""هو تعيين الوقت لينسب إليه زمان مطلقا، سواء كان قد مضى أو كان حاضرا أو سيأتي..""، ثم يعطي الكافيجي بعدا حضاريا للتاريخ ضمن استطراده لتعريف التاريخ، فيقول: ""وقيل: التاريخ تعريف الوقت"" بإسناده إلى أول حدوث أمر شائع، كظهور ملة، أو وقوع حادثة هائلة، من طوفان أو زلزلة عظيمة"".",الكافي,noun_prop,B-PERS
"وحقيقته كما قال (ابن خلدون): «أنه خبر عن الاجتماع الإنساني الذي هو عمران العالم، وما يعرض لطبيعة ذلك العمران من الأحوال، مثل التوحش والتأنس، والعصبيات، وأصناف التغلبات للبشر بعضهم على بعض، وما ينشأ عن ذلك من الملك والدول ومراتبها، وما ينتحله البشر بأعمالهم ومساعيهم من الكسب والمعاش والعلوم والصنائع، وسائر ما يحدث في ذلك العمران بطبيعته من الأحوال» (المقدمة ص57).",ابن,noun,B-PERS
"وحقيقته كما قال (ابن خلدون): «أنه خبر عن الاجتماع الإنساني الذي هو عمران العالم، وما يعرض لطبيعة ذلك العمران من الأحوال، مثل التوحش والتأنس، والعصبيات، وأصناف التغلبات للبشر بعضهم على بعض، وما ينشأ عن ذلك من الملك والدول ومراتبها، وما ينتحله البشر بأعمالهم ومساعيهم من الكسب والمعاش والعلوم والصنائع، وسائر ما يحدث في ذلك العمران بطبيعته من الأحوال» (المقدمة ص57).",خلدون,noun,I-PERS
"في شرق آسيا، كان من المعروف أن تاريخ الدولة، «سجلات الربيع والخريف»، تم تجميعه منذ عام 722 قبل الميلاد، على الرغم من أن نصوص القرن الثاني قبل الميلاد فقط قد نجت.",آسيا,noun_prop,B-LOC
"وفي ستينيات القرن العشرين، بدأ مؤرخو أوروبا بالتوجه مرة أخرى إلى علمية التاريخ بأسلوب جديد تمثل في تضمين العلوم الأخرى كتخصصات فرعية في التاريخ، ومن أشهرهم إدوارد هاليت كار.",أوروبا,noun_prop,B-LOC
"وفي ستينيات القرن العشرين، بدأ مؤرخو أوروبا بالتوجه مرة أخرى إلى علمية التاريخ بأسلوب جديد تمثل في تضمين العلوم الأخرى كتخصصات فرعية في التاريخ، ومن أشهرهم إدوارد هاليت كار.",إد,noun,B-PERS
"وفي ستينيات القرن العشرين، بدأ مؤرخو أوروبا بالتوجه مرة أخرى إلى علمية التاريخ بأسلوب جديد تمثل في تضمين العلوم الأخرى كتخصصات فرعية في التاريخ، ومن أشهرهم إدوارد هاليت كار.",هال,noun,I-PERS
"وفي ستينيات القرن العشرين، بدأ مؤرخو أوروبا بالتوجه مرة أخرى إلى علمية التاريخ بأسلوب جديد تمثل في تضمين العلوم الأخرى كتخصصات فرعية في التاريخ، ومن أشهرهم إدوارد هاليت كار.",كار,noun_prop,I-PERS
